,Stab attack,Slash attack,Crush attack,Magic attack,Ranged attack,Stab defence,Slash defence,Crush defence,Magic defence,Ranged defence,Melee strength,Ranged strength,Magic damage,Prayer
None,,,,,,,,,,,,,,
Infernal cape,4,4,4,1,1,12,12,12,12,12,8,,,2
Fire cape,1,1,1,1,1,11,11,11,11,11,4,,,2
Mythical cape,,,6,,,8,8,8,8,8,1,,,1
Ardougne 4,6,,,6,,6,,,6,,,,,6
Ardougne 3,5,,,5,,5,,,5,,,,,5
Ardougne 2,4,,,4,,4,,,4,,,,,4
Ardougne 1,2,,,2,,2,,,2,,,,,2
Vestment cloak,,,,1,,3,3,3,3,3,,,,3
Max cape,,,,,,9,9,9,9,9,,,,4
Skill cape (t),,,,,,9,9,9,9,9,,,,4
Obsidian cape,,,,,,9,9,9,9,9,,,,
3rd age cloak,,,,,,9,9,9,9,9,,,,5
Ava's attractor,,,,,2,,,,2,,,,,
Ava's accumulator,,,,,4,,1,,4,,,,,
Ava's assembler,,,,,8,1,1,1,8,2,,2,,
Mage arena cape,,,,10,,1,1,2,10,,,,,
God cape (i),,,,15,,3,3,3,15,,,,0.02,
Guthix cape,,,,10,,1,1,2,10,,,,,
Saradomin cape,,,,10,,1,1,2,10,,,,,
Zamorak cape,,,,10,,1,1,2,10,,,,,
Regular cape,,,,,,,1,1,,2,,,,
