,Stab attack,Slash attack,Crush attack,Magic attack,Ranged attack,Stab defence,Slash defence,Crush defence,Magic defence,Ranged defence,Melee strength,Ranged strength,Magic damage,Prayer
None,,,,,,,,,,,,,,
Primordial boots,2,2,2,-4,-1,22,22,22,,,5,,,
Dragon boots,,,,-3,-1,16,17,18,,,4,,,
Rune boots,,,,-3,-1,12,13,14,,,2,,,
Adamant boots,,,,-3,-1,10,11,12,,,1,,,
Climbing boots,,,,,,,2,2,,,2,,,
Bandos boots,,,,-5,-3,17,18,19,,15,,,,1
Granite boots,,,,-3,-1,12,13,14,0,8,3,,,
Guardian boots,,,,-3,-1,32,32,32,-3,24,3,,,2
Boots of stone,,,,,,1,1,1,,,,,,
Boots of brimstone,3,0,0,3,5,10,10,10,5,5,,,,
White boots,,,,-3,-1,7,8,9,,,,,,1
Holy sandals,,,,,,,,,,,,,,3
Devout boots,0,0,0,0,0,0,0,0,0,0,,,,5
Pegasian boots,,,,-12,12,5,5,5,5,,,,,
Ranger boots,,,,-10,8,2,3,4,2,,,,,
Blessed d'hide boots,,,,-10,7,4,4,4,4,4,,,,1
Snakeskin boots,,,,-10,3,1,1,2,1,,,,,
Spined boots,,,,,,,1,1,,,,,,
Frog-leather boots,,,,-8,2,1,1,1,,1,,,,
Runner boots,,,,1,1,8,8,8,,,,,,
Eternal boots,,,,8,,5,5,5,8,5,,,,
Infinity boots,,,,5,,,,,5,,,,,
Wizard boots,,,,4,,,,,4,,,,,
Mystic boots,,,,3,,,,,3,,,,,
Skeletal boots,,,,,,,1,1,,,,,,
Fighting boots,,,,,,1,,3,,,,,,
Fancy boots,,,,,,1,2,3,,,,,,
