,Stab attack,Slash attack,Crush attack,Magic attack,Ranged attack,Stab defence,Slash defence,Crush defence,Magic defence,Ranged defence,Melee strength,Ranged strength,Magic damage,Prayer
None,,,,,,,,,,,,,,
Inquisitor's hauberk,-3,-3,12,-11,-10,67,55,71,,35,4,,,2
Bandos chestplate,,,,-15,-10,98,93,105,-6,133,4,,,1
Fighter torso,,,,-40,,62,85,62,-10,67,4,,,
Void knight top,,,,,,45,45,45,45,45,,,,
Elite void top,,,,,,45,45,45,45,45,,,,3
Verac's brassard,,,,-6,-2,81,95,85,,85,,,,5
Dharok's platebody,,,,-30,-10,122,120,107,-6,132,,,,
Guthan's platebody,,,,-30,-10,122,120,107,-6,132,,,,
Torag's platebody,,,,-30,-10,122,120,107,-6,132,,,,
Obsidian platebody,,,,,,55,78,56,-15,60,3,,,
Proselyte hauberk,,,,-30,-10,65,63,55,-6,-63,,,,8
Justiciar chestguard,,,,-40,-20,132,130,117,-16,142,,,,4
Dragon chainbody,,,,-15,,81,93,98,-3,82,,,,
3rd age platebody,,,,-20,0,96,108,113,-4,97,,,,
Rune platebody,,,,-30,-10,82,80,72,-6,80,,,,
Dragon platebody,,,,-30,-10,109,107,97,-6,106,,,,
Armadyl chestplate,-7,-7,-7,-15,33,56,48,61,70,57,,,,1
Crystal body,0,0,0,-18,30,34,24,32,44,53,,,,3
Karil's leathertop,,,,-15,30,47,52,50,65,57,,,,
God d'hide body,,,,-15,30,45,47,60,50,55,,,,1
Black d'hide body,,,,-15,30,45,47,60,50,55,,,,
Red d'hide body,,,,-15,25,50,42,55,40,50,,,,
Blue d'hide body,,,,-15,20,45,37,50,30,45,,,,
Green d'hide body,,,,-15,15,40,32,45,20,40,,,,
Studded body,,,,-4,8,18,25,22,8,25,,,,
Snakeskin body,,,,-5,12,25,28,32,15,35,,,,
Ranger's tunic,,,,-15,15,6,9,12,6,6,,,,
3rd age range top,,,,-15,30,55,47,60,60,55,,,,
Spined body,,,,-15,15,40,32,45,20,40,,,,
Frog-leather body,,,,-5,10,23,26,30,15,32,,,,
Hard leather body,,,,-4,8,12,15,18,6,15,,,,
Leather,,,,-2,2,8,9,10,4,9,,,,
Ancestral robe top,,,,35,-8,42,31,51,28,0,,,0.02,
Ahrim's robetop,,,,30,-10,52,37,63,30,0,,,,
3rd age robe top,,,,24,,,,,24,,,,,
Elder chaos top,,,,10,,,,,8,,,,,
Infinity top,,,,22,,,,,22,,,,,
Mystic robe top,,,,20,,,,,20,,,,,
Vestment robe top,,,,4,,,,,4,,,,,6
Skeletal top,,,,8,-10,35,25,42,15,,,,,
Monk's robe top,,,,,,,,,,,,,,6
