,Stab attack,Slash attack,Crush attack,Magic attack,Ranged attack,Stab defence,Slash defence,Crush defence,Magic defence,Ranged defence,Melee strength,Ranged strength,Magic damage,Prayer
None,,,,,,,,,,,,,,
Ferocious gloves,16,16,16,-16,-16,0,0,0,0,0,14,,,
Barrows gloves,12,12,12,6,12,12,12,12,6,12,12,,,
Void knight gloves,,,,,,6,6,6,4,6,,,,
Tormented bracelet,,,,10,,,,,,,,,0.05,2
Dragon gloves,9,9,9,5,9,9,9,9,5,9,9,,,
Rune gloves,8,8,8,4,8,8,8,8,4,8,8,,,
Adamant gloves,7,7,7,4,7,7,7,7,4,7,7,,,
Mithril gloves,6,6,6,3,6,6,6,6,3,6,6,,,
Black gloves,5,5,5,3,5,5,5,5,3,5,5,,,
Steel gloves,4,4,4,2,4,4,4,4,2,4,4,,,
Iron gloves,3,3,3,2,3,3,3,3,2,3,3,,,
Bronze gloves,2,2,2,1,2,2,2,2,1,2,2,,,
Hardleather gloves,1,1,1,1,1,1,1,1,1,1,1,,,
Regen bracelet,8,8,8,3,7,6,6,6,3,6,7,,,
Combat bracelet,7,7,7,3,7,5,5,5,3,5,6,,,
Granite gloves,5,5,9,-3,-1,8,8,8,-3,5,7,,,
Chaos gauntlets,2,2,2,,,8,9,7,,,2,,,
Black d'hide vamb.,,,,-10,11,6,5,7,8,,,,,
Red d'hide vamb.,,,,-10,10,5,4,6,6,,,,,
Blue d'hide vamb.,,,,-10,9,4,3,5,4,,,,,
Green d'hide vamb.,,,,-10,8,3,2,4,2,,,,,
Snakeskin vamb.,,,,-5,6,2,2,2,1,,,,,
Spined gloves,,,,,,,1,2,,,,,,
God bracers,,,,-10,11,6,5,7,8,,,,,1
Ranger gloves,,,,-10,11,1,2,1,2,,,,,
Leather gloves,,,,,,,1,2,,,,,,
3rd age vambraces,,,,-10,11,6,5,7,9,,,,,
Skeletal gloves,,,,,,,1,2,,,,,,
Leather vambraces,,,,,4,2,2,1,,,,,,
