,Stab attack,Slash attack,Crush attack,Magic attack,Ranged attack,Stab defence,Slash defence,Crush defence,Magic defence,Ranged defence,Melee strength,Ranged strength,Magic damage,Prayer
None,,,,,,,,,,,,,,
Neitiznot faceguard,,,,,,36,34,38,3,34,6,,,3
Inquisitor's great helm,-2,-2,8,0,-5,19,10,21,0,12,4,,,1
Dharok's helm,,,,-3,-1,45,48,44,-1,51,,,,
Dwarven helmet,,,6,-2,-2,27,28,31,5,24,,,,
Fighter hat,5,5,5,-7,-7,27,29,26,-3,28,,,,
Guthan's helm,,,,-6,-2,55,58,54,-1,62,,,,
Neitiznot,,,,,,31,29,34,3,30,3,,,3
Justiciar faceguard,,,,-6,-2,60,63,59,-6,67,,,,2
Dragon full helm,,,,-6,-2,45,48,41,-1,46,,,,
Dragon med helm,,,,-3,-1,33,35,32,-1,34,,,,
Rune full helm,,,,-6,-2,30,32,27,-1,30,,,,
Serpentine,,,,-5,-5,52,55,58,0,50,5,,,
Slayer helmet (i),,,,3,3,30,32,27,10,30,,,,
Obsidian helm,,,,,,25,23,26,0,24,3,,,
Torag's helm,,,,-6,-2,55,58,54,-1,62,,,,
Verac's helm,,,,-6,-2,55,58,54,0,56,,,,3
Void knight helm,,,,,,6,6,6,6,6,,,,
3rd age helm,0,0,0,-5,-2,47,49,43,-3,48,,,,
Proselyte sallet,0,0,0,-6,-2,19,21,16,-1,19,,,,4
Warrior helm,,5,,-5,-5,31,33,29,0,30,,,,
Berserker helm,,,,-5,-5,31,29,33,0,30,3,,,
Armadyl helmet,-5,-5,-5,-5,10,6,6,10,10,8,,,,1
Robin hood hat,,,,-10,8,4,6,8,4,4,,,,
Karil's coif,,,,-3,7,6,9,12,6,10,,,,
God coif,,,,-1,7,4,7,10,4,8,,,,1
3rd age range coif,0,0,0,-2,9,4,7,10,5,8,,,,
Crystal helm,0,0,0,-10,8,12,8,14,26,18,,,,2
Archer helm,-5,-5,-5,-5,6,6,8,10,6,6,,,,
Snakeskin bandana,,,,-5,4,2,4,4,2,2,,,,
Spined helm,-6,-6,-6,-6,6,6,6,6,6,0,,,,
Coif,,,,-1,2,4,6,8,4,4,,,,
Cowl,,,,,1,2,3,4,2,3,,,,
Ranger hat,-5,-5,-5,-5,6,7,10,11,5,8,,,,
3rd age mage hat,,,,8,,,,,8,,,,,
Ancestral hat,,,,8,-2,12,11,13,5,0,,,0.02,
Ahrim's hood,,,,6,-2,15,13,16,6,,,,,
Elder chaos hood,,,,5,,,,,4,,,,,
Infinity hat,,,,6,,,,,6,,,,,
Healer hat,-5,-5,-5,6,-5,6,8,10,7,,,,,
Farseer helm,-5,-5,-5,6,-5,8,10,12,6,,,,,
Skeletal helm,,,,2,-2,10,9,11,3,,,,,
Guthix halo,,,,,,11,12,10,11,-3,,,,3
Saradmon halo,,,,,,11,12,10,11,-3,,,,3
Zamorak halo,,,,,,11,12,10,11,-3,,,,3
God mitre,,,,4,,,,,4,,,,,5
