,Stab attack,Slash attack,Crush attack,Magic attack,Ranged attack,Stab defence,Slash defence,Crush defence,Magic defence,Ranged defence,Melee strength,Ranged strength,Magic damage,Prayer
None,,,,,,,,,,,,,,
Inquisitor's plateskirt,-3,-3,12,-9,-5,42,30,49,0,22,2,,,2
Bandos tassets,,,,-21,-7,71,63,66,-4,93,2,,,1
Void knight robe,,,,,,30,30,30,30,30,,,,
Elite void robe,,,,,,30,30,30,30,30,,,,3
Verac's plateskirt,,,,-21,-7,85,82,83,,84,,,,4
Dharok's platelegs,,,,-21,-7,82,82,83,-4,92,,,,
Guthan's chainskirt,,,,-14,-7,75,72,73,-4,82,,,,
Torag's platelegs,,,,-21,-7,82,82,83,-4,92,,,,
Obsidian platelegs,,,,,,46,43,41,-10,40,1,,,
Proselyte cuisse,,,,-21,-7,33,31,29,-4,31,,,,6
Justiciar legguard,,,,-31,-17,95,92,93,-14,102,,,,4
3rd age platelegs,,,,-25,-2,78,76,83,-5,75,,,,
Dragon platelegs,,,,-21,-7,68,66,63,-4,65,,,,
Rune platelegs,,,,-21,-7,51,49,47,-4,49,,,,
Armadyl chainskirt,-6,-6,-6,-10,20,32,26,34,40,33,,,,1
Crystal legs,,,,-12,17,20,16,24,34,29,,,,2
Karil's leatherskirt,,,,-10,17,26,20,28,35,33,,,,
God d'hide chaps,,,,-10,17,31,25,33,28,31,,,,1
3rd age range legs,,,,-10,17,31,25,33,30,31,,,,
Black d'hide chaps,,,,-10,17,31,25,33,28,31,,,,
Red d'hide chaps,,,,-10,14,28,22,30,20,28,,,,
Blue d'hide chaps,,,,-10,11,25,19,27,14,25,,,,
Green d'hide chaps,,,,-10,8,22,16,24,8,22,,,,
Studded chaps,,,,-5,6,15,16,17,6,16,,,,
Snakeskin chaps,,,,-5,6,8,8,10,4,10,,,,
Spined chaps,,,,-10,8,22,16,24,8,22,,,,
Frog-leather chaps,,,,-5,2,7,7,9,4,9,,,,
Penance skirt,,,,-10,15,26,21,28,19,26,,,,
Leather chaps,,,,,4,2,2,1,,,,,,
Ancestral robe bottoms,,,,26,-7,27,24,30,28,0,,,0.02,
Ahrim's robeskirt,,,,22,-7,33,30,36,22,,,,,
3rd age robe,,,,19,,,,,19,,,,,
Elder chaos robe,,,,6,,,,,6,,,,,
Infinity bottoms,,,,17,,,,,17,,,,,
Mystic robe bottom,,,,15,,,,,15,,,,,
Vestment robe legs,,,,4,,,,,4,,,,,5
Skeletal bottoms,,,,6,-7,22,20,24,10,,,,,
Monk's robe bottom,,,,,,,,,,,,,,5
