,Stab attack,Slash attack,Crush attack,Magic attack,Ranged attack,Stab defence,Slash defence,Crush defence,Magic defence,Ranged defence,Melee strength,Ranged strength,Magic damage,Prayer
None,,,,,,,,,,,,,,
Berserker (i),,,,,,,,8,,,8,,,
Berserker,,,,,,,,4,,,4,,,
Warrior (i),,8,,,,,8,,,,,,,
Warrior,,4,,,,,4,,,,,,,
Treasonous (i),8,,,,,8,,,,,,,,
Treasonous,4,,,,,4,,,,,,,,
Tyrannical (i),,,8,,,,,8,,,,,,
Tyrannical,,,4,,,,,4,,,,,,
Ring of the gods,,,,,,1,1,1,1,1,,,,4
Ring of the gods (i),,,,,,1,1,1,1,1,,,,8
Ring of suffering,,,,,,10,10,10,10,10,,,,2
Ring of suffering (i),,,,,,20,20,20,20,20,,,,4
Archer (i),,,,,8,,,,,8,,,,
Archer,,,,,4,,,,,4,,,,
Seers (i),,,,12,,,,,12,,,,,
Seers,,,,6,,,,,6,,,,,
Granite ring,,,,,,2,2,2,-2,8,,,,
Granite ring (i),,,,,,4,4,4,-2,16,,,,
Beacon ring,,,,2,,,,,1,,,,,
Brimstone ring,4,4,4,6,4,4,4,4,6,4,4,,,
Explorer's ring,,,,,,,,,,,,,,1
