Name,Stab attack,Slash attack,Crush attack,Magic attack,Ranged attack,Stab defence,Slash defence,Crush defence,Magic defence,Ranged defence,Melee strength,Ranged strength,Magic damage,Prayer,Special accuracy,Special damage 1,Special damage 2,Special defence roll,Spell max hit,Attack speed,Combat options,Mining level req,Two handed
None,,,,,,,,,,,,,,,,,,,,4,3,,
2h Korasi,0,100,60,,,,,,,,88,,,,,0.5,,Magic,,4,10,,TRUE
3rd age longsword,60,72,-2,,,0,3,2,,,75,,,,,,,,,5,6,,
Abyssal bludgeon,,,102,,,,,,,,85,,,,0,0.385,,Crush,,4,14,,TRUE
Abyssal dagger,75,40,-4,,,,,,1,,75,,,,0.25,-0.15,,Slash,,4,4,,
Abyssal tentacle,,90,,,,,,,,,86,,,,0.25,0,,Slash,,4,13,,
Abyssal whip,,82,,,,,,,,,82,,,,0.25,0,,Slash,,4,13,,
Ancient mace,10,-2,16,,,,,,,,14,,,3,,,,Crush,,5,7,,
Arclight,10,38,-2,,,,3,2,2,,8,,,,,,,Stab,,4,6,,
Armadyl godsword,,132,80,,,,,,,,132,,,8,1,0.1,0.25,Slash,,6,10,,TRUE
Bandos godsword,,132,80,,,,,,,,132,,,8,1,0.1,0.1,Slash,,6,10,,TRUE
Barrelchest anchor,-2,10,92,,,,,20,,,100,,,,1,0.1,,Crush,,6,7,,TRUE
Black salamander,,59,,,69,,,,,,71,49,,,,,,,,5,18,,TRUE
Blade of Saeldor,55,94,,,,,,,,,89,,,,,,,,,4,6,,
Bone dagger,5,3,-4,1,,,,,1,,4,,,,,,,,,4,4,,
Brine sabre,7,47,-2,,,,,,,,46,,,,,,,,,4,5,,
Crystal halberd,85,110,,-4,,-1,4,5,,,118,,,,-0.25,0.1,,Slash,,7,11,,TRUE
Crystal halberd (basic),68,68,4,0,0,0,0,0,0,0,42,0,0,1,,,,,,4,11,,TRUE
Crystal halberd (attuned),114,114,12,0,0,0,0,0,0,0,88,0,0,2,,,,,,4,11,,TRUE
Crystal halberd (perfected),166,166,28,0,0,0,0,0,0,0,138,0,0,3,,,,,,4,11,,TRUE
Crystal sceptre,8,10,16,0,0,0,0,0,0,0,20,,,,,,,,,5,9,,
Darklight,10,16,-2,,,,3,2,2,,13,,,,,,,Stab,,5,6,,
Dharok's greataxe,,103,95,-4,,,,,,-1,105,,,,,,,,,7,8,,TRUE
Dinh's Bulwark,0,0,110,0,0,141,145,145,18,148,38,,,,0.2,,,Crush,,7,21,,TRUE
Dragon 2h sword,-4,92,80,-4,,,,,,-1,93,,,,,,,Slash,,7,10,,TRUE
Dragon battleaxe,-2,70,65,,,,,,,-1,85,,,,,,,Slash,,6,8,,
Dragon claws,41,57,,,,13,26,7,,,56,,,,,,,Slash,,4,6,,TRUE
Dragon dagger,40,25,-4,1,,,,,,,40,,,,0.15,0.15,,Slash,,4,4,,
Dragon halberd,70,95,,-4,,-1,4,5,,,89,,,,-0.25,0.1,,Slash,,7,11,,TRUE
Dragon hasta,55,55,55,0,0,-15,-15,-12,0,-15,60,,,,1,0.5,,Stab,,4,12,,
Dragon hunter lance,85,65,65,0,0,0,0,0,0,0,70,,,,,,,,,4,12,,
Dragon longsword,58,69,-2,,,,3,2,,,71,,,,,0.25,,Slash,,5,6,,
Dragon mace,40,-2,60,,,,,,,,55,,,5,0.25,0.5,,Crush,,5,7,,
Dragon scimitar,8,67,-2,,,,1,,,,66,,,,0.25,,,Slash,,4,6,,
Dragon spear,55,55,55,,,5,5,5,5,5,60,,,,,,,,,5,12,,TRUE
Dragon sword,65,55,-2,,,,2,1,,,63,,,,0.25,0.25,,Stab,,4,5,,
Dragon warhammer,-4,-4,95,-4,0,,,,,,85,,,,,0.5,,Crush,,6,9,,
Elder maul,,,135,,,,,,,,147,,,,,,,,,6,9,,TRUE
Event rpg,,,,,,,,,,,,,,,,,,,,3,3,,TRUE
Fixed device,,,,,,,,,,,,,,,,,,,,4,14,,TRUE
Gadderhammer,-4,-4,35,,,,,,,,35,,,,,,,Crush,,5,9,,TRUE
Ghrazi rapier,94,55,,,,0,0,0,0,0,89,,,,,,,,,4,5,,
Inquisitor's mace,52,-4,95,,,,,,,,89,,,2,,,,,,4,7,,
Granite hammer,0,0,57,-3,-1,,,,,,56,,,,0.5,,,Crush,,4,9,,
Granite longsword,56,65,-2,,,,3,2,,,62,,,,,,,,,5,6,,
Granite maul,,,81,,,,,,,,79,,,,,,,Crush,,7,9,,TRUE
Guthan's warspear,75,75,75,,,7,7,7,,,75,,,,,,,,,5,12,,TRUE
Ham joint,,,,,,,,,,,,,,,,,,,,3,9,,
Hill giant club,-4,50,65,-4,,0,0,0,0,-1,70,,,,,,,,,7,9,,TRUE
Keris,40,20,-10,2,,,,,2,,30,,,2,,,,Stab,,4,4,,
Leaf-bladed spear,47,42,36,,,1,1,,,,50,,,,,,,,,5,12,,TRUE
Leaf-bladed sword,67,62,,,,,,,,,50,,,,,,,,,4,5,,
